,Date,Open,High,Low,Close,Volume,Adj Close
0,2013-10-04,13.84,13.84,13.83,13.84,9115200,13.84
1,2013-10-03,13.83,13.85,13.83,13.83,12388500,13.83
2,2013-10-02,13.83,13.84,13.83,13.83,6573000,13.83
3,2013-10-01,13.82,13.84,13.81,13.84,29168900,13.84
4,2013-09-30,13.77,13.78,13.75,13.75,16209700,13.75
5,2013-09-27,13.79,13.8,13.77,13.78,15827100,13.78
6,2013-09-26,13.86,13.87,13.85,13.86,16460300,13.78
7,2013-09-25,13.88,13.88,13.86,13.86,11829800,13.78
8,2013-09-24,13.87,13.88,13.87,13.88,10570300,13.8
9,2013-09-23,13.87,13.88,13.87,13.88,5585100,13.8
10,2013-09-20,13.87,13.9,13.86,13.88,15341600,13.8
11,2013-09-19,13.87,13.87,13.86,13.87,6201100,13.79
12,2013-09-18,13.86,13.87,13.85,13.87,10748300,13.79
13,2013-09-17,13.86,13.87,13.85,13.85,15104000,13.77
14,2013-09-16,13.86,13.86,13.85,13.85,16160700,13.77
15,2013-09-13,13.84,13.86,13.84,13.85,10376000,13.77
16,2013-09-12,13.85,13.88,13.83,13.85,88642800,13.77
17,2013-09-11,13.86,13.87,13.8,13.85,19667100,13.77
18,2013-09-10,13.85,13.86,13.84,13.85,21983300,13.77
19,2013-09-09,13.82,13.86,13.82,13.84,19173100,13.76
20,2013-09-06,13.83,13.84,13.81,13.84,9003100,13.76
21,2013-09-05,13.81,13.84,13.8,13.82,10285500,13.74
22,2013-09-04,13.78,13.82,13.76,13.81,14715600,13.73
23,2013-09-03,13.79,13.8,13.76,13.77,10382700,13.69
24,2013-08-30,13.76,13.79,13.75,13.77,6181800,13.69
25,2013-08-29,13.8,13.8,13.75,13.75,31770800,13.67
26,2013-08-28,13.78,13.8,13.78,13.78,24135400,13.7
27,2013-08-27,13.79,13.81,13.77,13.78,15716600,13.7
28,2013-08-26,13.8,13.82,13.79,13.8,5686000,13.72
29,2013-08-23,13.79,13.81,13.78,13.81,7421700,13.73
30,2013-08-22,13.78,13.8,13.78,13.79,4458800,13.71
31,2013-08-21,13.77,13.8,13.77,13.79,5308300,13.71
32,2013-08-20,13.78,13.8,13.76,13.76,10171600,13.68
33,2013-08-19,13.8,13.83,13.78,13.79,13416700,13.71
34,2013-08-16,13.7,13.85,13.69,13.82,29129100,13.74
35,2013-08-15,13.73,13.73,13.52,13.71,13850200,13.63
36,2013-08-14,13.72,13.74,13.71,13.72,8288800,13.64
